Partnumber,Package,Value,Tolerance
1271012715,,undefined,
8905405655,SOD57,BYW32-TAP50,
0272240105,LQFP32,CJ125,
1267377415,SOT23,BC807-40,
1267360755,0606,10k,1%
8900630155,0204,3.65R,1%
8905505445,0603,1nF,5%
8900312205,0309,200k,5%
8900419225,0411,220k,2%
0437S0079U,,undefined,
8909014606,SOT23,PMV280ENEA,
1267360756,0606,8.25k,1%
0437S0079V,,undefined,
8900438126,0719,1.2M,5%
8905960356,LQFP48,MC68HC908GZ60CFA,
1269993366,0207,681k,1%
8905503886,TO263,BTS7970B,
8900630156,0204,3.74R,1%
8905405656,,BY203/16S,
1271012716,,undefined,
8900419226,0411,2.2M,2%
1267377416,SOT404,BUK9635-55A,
8905505446,0603,1.5nF,5%
8900635376,0204,604R,2%
1270E21366,,254589,
1269993367,0207,750k,1%
6002JE1967,,6002JE1967,
8900630157,0204,3.83R,1%
1279993377,HY_FUER-HYBRID-SG,CY141,
1267360757,0606,5.11k,1%
8909B00107,TQFP100ePAD,CY327AD,
8900635377,0204,619R,2%
8902860477,,15nF,20%
0272240107,HIQUAD64,CJ840C,
8900438127,0719,12M,5%
1267361947,0805,100R,0.1%
8900419227,0411,22M,2%
8909014607,SC70 (5),SN74LVC1G14-Q1,
1271012717,,undefined,
1267377418,TO263,BUZ111S,
8909007920,VQFN-HR(22),LM53625NQRNLRQ1,
1267361948,0805,1R,1%
8611201110,24 TF-BGA,IS26KS256S-DPBLA,
8909B00108,LFBGA292,uC18 device 3,
1269993368,0207,825k,1%
1271012718,,undefined,
8900635378,0204,634R,2%
8909010310,2016,50000kHz,
8900625180,0204,66.5R,1%
8909005810,TSSOP28,TPA3111D1-Q1,
8902212650,HY_0603,100nF,10%
8900131660,0603,68.1k,1%
8905503888,LQFP176,SAK-TC1766LEDA-L,
8905505448,0402,100nF,10%
8903413560,,1mF,20%
8909013170,"EFD 30,6",505 90 031 00,
8900106240,0204,309R,1%
8909011060,DFN1006BD-2,MMBZ16VZLS-Q/S80,
0265C85360,,undefined,
8900507110,0617,1.1R,5%
8905960358,HY_FUER-HYBRID-SG,LM71A1MDA,
1267360758,0606,3.48k,1%
8900630158,0204,3.92R,1%
8909B02250,1212,10uH,
8909000670,PowerSSO-24,VNQ5E050AK-E,
8905508950,HTSSOP32,UJA1065TW/5V0/C/,
8909014608,SOIC8,TLIN2021ADRQ1,
0272240108,HIQUAD64,CJ840C,
8909010311,2016,50MHz,
8909007921,SOT23,SQ2309ES,
0265C85361,,undefined,
8909B0538401,,ATWPEF372718B502,
8900625181,0204,68.1R,1%
8900131661,0603,75k,1%
8905503889,LQFP176,SAK-TC1766LEDA-L,
8900507111,0617,11R,5%
8905504501,0402,332k,1%
6002JE1969,,BOS-LT19BH4411F,
8900630159,0204,4.02R,1%
8905500229,HY_FUER-HYBRID-SG,M95320-BW21/150,
8909B0657901,,A-HTSW-105-22-F-,
8909B00109,LQFP-64 ePAD,PC900685AE AB-Si,
890900873401,QFN32,DS90UB971RHBRQ1,
1269993369,0207,909k,1%
8909B0566201,8-SO,MT25QL128ABB1ESE,
8909005811,TSOP86,MT48LC4M32B2P-6A,
8905505449,1206,10uF,20%
8909011061,VQFN-HR,TPS6281320QWRWYR,
1267361949,0805,24.9R,1%
8905508951,HTSSOP32,UJA1066TW/5V0/C/,
8900635379,0204,649R,2%
8903413561,,2.2mF,20%
1267360759,0606,1k,1%
1279994001,Bare Die,PM4D34N,
8905B0016001,,PROGRAMIERSTECKE,
1270E06389,,GEN9 ASG A1 38-p,
8909014609,3.2 x 2.5 x 0.9mm,100MHz,
8900106241,0204,316R,1%
0273300011,K5-CLCC6,SMD082,
0272240109,MQFP80,CJ870B,
1270E24542,,,
8909011062,WSON6,TPS74512PQWDRVRQ,
1279994002,Bare Die,PM4D46N,
8900625182,0204,69.8R,1%
8900507112,0617,110R,5%
8909005812,HY_0603,33R,1%
8905508952,HTSSOP32,UJA1069TW/5V0/C/,
8902243112,,43pF,5%
8909013172,"EF 30,6",505 90 032 00,
8909007922,SOT23,NVC3S5A51PLZT1G,
8900106242,0204,324R,1%
890900873402,QFN32,DS90UB971RHBRQ1,
8902212652,HY_0603,47pF,10%
8900131662,0603,82.5k,1%
8928420503,"2-SMD, J-Lead",10mH,
8902243113,,43pF,5%
8909010313,eTQFP64,SPC58EC80E1G0C1,
8909B02253,0402,4.02k,1%
8900625183,0204,71.5R,1%
8909007923,,1.5uF,10%
8900131663,0603,100k,1%
8900106243,0204,332R,1%
8902212653,HY_1206,4.7uF,10%
1270E24543,,,
8900507113,0617,1.1k,5%
8909011063,17.75 mm * 13.46 mm,901-20115,
8905504503,TSSOP16,74HC4852PW,
8902212654,1206,220nF,10%
8900625184,0204,73.2R,1%
8905504504,,47uF,20%
8909011064,D2PAK-real 2,AIDK16S65C5,
8900507114,0617,11k,5%
8909007924,18.0 x 11.0 x 19.0 mm,47nF,10%
8909005814,HY_0603,60.4R,1%
8909013174,TO252,NP90N04VDK,
8909010314,eTQFP64,SPC58EC74E1G0C,
8900106244,0204,340R,1%
8909B02254,516/522 MAPBGA,Cobra55 (MPC5777,
8905504505,0204,226k,0.5%
8909007925,10.0 x 4.0 x 9.0 mm,1nF,10%
8903415125,,100uF,75%
8905508955,SOIC16,MC68HC908QY4VDWE,
8909000675,TSSOP,MLX90317-EGO-FCN,
8909005815,HY_0603,100R,1%
8909010315,UQFN*12,NLVSX5004MUTAG,
8902212655,0805,100nF,5%
8909B02255,PG-DSO-14-40 EP,BTF6070 * 2EKV,
8900625185,0204,75R,1%
8900131665,0603,118k,1%
8900507115,0617,110k,5%
8900106245,0204,348R,1%
8909013175,UDFN6,NCV380HMUAJAATBG,
8909007926,SOT-23-5,SN6501QDBVRQ1,
8900131666,0603,121k,1%
8903413566,,330uF,20%
8909000676,0805,1.5R,1%
8909005816,HY_0603,1.33k,1%
8909B02256,SOIC8-N,AUIRS2012S,
8900625186,0204,76.8R,1%
8902212656,0402,15pF,5%
8909011066,HTSSOP,LM63615DQPWPRQ1,
8909013176,,undefined,
8900106246,0204,357R,1%
8900507116,0617,1.1M,5%
8905504506,0204,249k,0.5%
8909010316,SOIC-8 * D8,NCV3843BVD1R2G,
8900130917,1206,33.2k,1%
8909005817,HY_0603,49.9k,1%
8900131667,0603,147k,1%
8909010317,SOIC-8 * D8,UC2843AQD8RQ1,
8900507117,0617,11M,5%
8909013177,11.6mm x 1.3mm x 13.1mm,MTFC128GBCAVTC-A,
8909007927,13.0 x 4.0 x 9.0 mm,1nF,10%
8909000677,SOD323,PESD24VS1UA/DG/B,
8909B02257,PSOIC8,AUIRB24427S,
8905504507,0402,2.2nF,10%
2289992707,TO3,BDX94,
8900106247,0204,365R,1%
8909011067,"SMD 10.2 x 10,8",4.7uH,
8900214097,0204,10R,2%
8900625187,0204,78.7R,1%
8903413567,,1.5mF,20%
8909B02258,PM8,SMD288,
8909002840,0805,1.62k,1%
8909005818,HY_0603,100k,1%
8909007928,LQFP64L,L9370 - APB,
8900214098,0204,10.2R,2%
8900106248,0204,374R,1%
8909013178,11.6mm x 1.3mm x 13.1mm,MTFC128GBCAVTC-A,
8902002240,1210,2.2nF,5%
1267360780,1206,1.21k,1%
8909011068,HTSSOP-16,DRV8874QPWPRQ1,
8905507540,0402,6.2R,1%
1267361930,0805,46.4k,0.1%
0273101228,SO16,SMB260G,
8900635360,0204,412R,2%
8900131668,0603,162k,1%
8909B05290,MSOP10,LTC4371IMS#PBF,
8909010318,QFN-32,NCV97311MW50R2G,
8905500210,TO263AB,ISL9V3040-FAMILY,
8905505430,DO214A,BYG22DHE3/TR3,
8909000678,DPAK,NCV1117DT15RKG,
8902212658,0402,220pF,5%
1269993350,0207,147k,1%
8900625188,0204,80.6R,1%
1270CD1110,,MESSERLEISTE,
8928420508,5.6*5.2*2.8 mm,3.3uH,
1267360781,0612,3m,1%
8900131669,0603,180k,1%
8900438111,0719,11R,5%
8900635361,0204,422R,2%
8905500211,DPAK,ISL9V3040-FAMILY,
8902860461,,3.3nF,20%
8900106249,0204,383R,1%
8900130919,1206,38.3k,1%
8909005819,HY_0603,330k,1%
127001723101,,undefined,
8909B0601401,48*Pin LQFP,PFS2633AMDFPAD,
1269993351,0207,162k,1%
8900214099,0204,10.5R,2%
8909B02259,TQFPePad-64,CS520AA,
1267361931,0805,56.2k,0.1%
8900625189,0204,82.5R,1%
8905507541,0805,1nF,5%
8909010319,,234464,
8909B0728901,11.5x13x1.3mm(LxWxH),THGJFJT2T85BAB5,
8902212659,0402,6.8nF,10%
8909007929,0805,47nF,10%
8909B0637201,SOT-23 (8),INA296B3QDDFRQ1,
8905505431,DO214A,TPSMB33A-1BHE3_A,
8909000679,SOIC8,NCV2931ACDR2G,
8909013179,11.6mm x 1.3mm x 13.1mm,MTFC256GBCAVTC-A,
8909002841,0603,1.62k,0.1%
8909011069,"SMD 10.2 x 10,8",2.2uH,
8902002241,1210,2.7nF,5%
8905504509,PGTQFP-48,SAK-XC886C-8RFA5,
1270E34722,,transformer VW M,
8905507542,0805,1.5nF,5%
890900717802,TQFP64,RAA252012HFT,
8909B0665802,THT,"90.W5.A2.411.0,",
1267361932,0805,215k,0.1%
8902002242,1210,3.3nF,5%
8900635362,0204,432R,2%
8905505432,DO218,SM8S14AHE3,
8900438112,0719,110R,5%
1269993352,0207,178k,1%
8909B05292,QFN64,CXD4964ER-W,
8902002243,1210,3.9nF,5%
8900438113,0719,1.1k,5%
1269993353,0207,196k,1%
8905503873,1210,100nF,10%
1267361933,0805,2k,0.1%
890900717803,TQFP64,RAA252012HFT,
1270C11903,,undefined,
3330A30373,,undefined,
8905507543,HY_,SAL-XC2705X-104F,
8909002843,LQFP 48,S9S12GA128AVLF,
8905505433,DO218,SM8A27-7001HE3/2,
1267377443,TO263,RF1S40N10LESM,
8900635363,0204,442R,2%
0220M000JK,,undefined,
8909B05293,1206,47nF,5%
890901266204,SOIC 8,TJA1021BT,
1279993384,HY_FUER-HYBRID-SG,CG122,
8900635364,0204,453R,2%
0261C007KT,,undefined,
1269993354,0207,215k,1%
1267361934,0805,475R,0.1%
0220M000JL,,undefined,
8905507544,0805,2.2nF,5%
1267377444,SOT223,BCP53-16/DG/B3,
8909B05294,SOT23-3,TL431LIAEDBZRQ1,
8909002844,0402,191k,1%
8900438114,0719,11k,5%
8902860465,,4.7nF,20%
1269993355,0207,237k,1%
1270E25005,,,
1267377445,SOT23,BSS84P,
8909B05295,TSSOP8,LM2903BQPWRQ1,
8900438115,0719,110k,5%
1267361935,0805,5.62k,0.1%
8900635365,0204,464R,2%
8909002845,0402,45.3R,1%
8909002846,0402,499R,1%
8900635366,0204,475R,2%
1269993356,0207,261k,1%
1267361936,0805,68.1k,0.1%
8900438116,0719,1.1M,5%
1267377446,SC59,DTB113ZKT146,
8902002246,1210,1nF,2%
8909B05296,DHVQFN20,74AHC244BQ-Q100,
8903480517,,100uF,50%
8902002247,1210,1.2nF,2%
8905505437,D*PAK,IPB90N06S4-04,
8909B05297,SOIC*16 Wide Body (Pb*Free),NCV57253DWR2G,
8900635367,0204,487R,2%
0274B00307,SMD,SMG070_PREMOLD_C,
8905503877,0805,1.1k,1%
8900438117,0719,11M,5%
1267377447,SC59,DTD113ZKT146,
1267361937,0805,226k,0.1%
1269993357,0207,287k,1%
8905507547,0603,22pF,5%
8909002847,0402,32.4k,1%
1270CD1118,,19 POL. STECKERL,
1269993358,0207,316k,1%
8909010380,LFBGA516,SAL-TC389QP-160F,
8900507180,0617,1.8R,5%
8909011050,0805,60.4R,1%
8905509690,0805,487k,1%
8900229910,0207,9.1R,2%
8909002848,0402,118k,1%
8909000660,HTSSOP32,UJA1076ATW/5V0/W,
8900131650,0603,45.3k,1%
8900305510,0309,5.1R,5%
8901059240,,47R,5%
1267361938,0805,4.22k,0.1%
8900635368,0204,499R,2%
8900643200,0411,2R,5%
1267377448,SC59,DTC114EKAT146,
8909B05298,SOIC(8),ACS724LLCLU-20AU,
8909013160,,SAF4000EL/101Q23,
8900106230,0204,243R,1%
8909007910,(25x20)mm SiP,UGKZ5A3,
8905507548,0603,33pF,5%
8902002248,1210,1.5nF,2%
8900625170,0204,52.3R,1%
8903480518,,47uF,50%
8905507549,,V23138-R2002-A30,
890550574901,PG-DSO-36-26,TLE6232GP,
8909013161,7.7x7.2x5.4,4.7uH,
8900106231,0204,249R,1%
8902002249,1210,1.8nF,2%
8909B0736801,0805,1.4k,0.1%
8909B0504501,SOIC(16),ISOW7841AQDWExQ1,
8909B0285401,,88EA1512XX-NNP2A,
8900130981,0805,316R,1%
8909010381,LFBGA292,SAL-TC387QP-160F,
8900643201,0411,20R,5%
8909B0652401,QFN-13 (3mmx3mm),MPQ5852GQE-AEC1-,
1270E34729,,undefined,
8900305511,0309,51R,5%
8905509691,0805,487k,1%
8900625171,0204,53.6R,1%
8909B05299,16-Lead SOIC_IC,ADuM4221BRIZ,
1267377449,SOT404,BUK9640-100A,
8909007911,QFN48,DS90UB954TRGZRQ1,
1269993359,0207,348k,1%
8900229911,0207,91R,2%
8905505439,0402,27pF,5%
8909011051,0805,2.74k,1%
8902860469,,6.8nF,20%
8900635369,0204,511R,2%
8901059241,,51R,5%
8909002849,0402,178k,1%
8909B0568901,,22nF,-10%
1267361939,0805,10R,1%
8900131651,0603,46.4k,1%
8900507181,0617,18R,5%
8900229912,0207,910R,2%
8900643202,0411,200R,5%
8909011052,,51uH,
8909000662,TO252-3,IPD90N04S4-05,
8900507182,0617,180R,5%
8900106232,0204,255R,1%
8900625172,0204,54.9R,1%
8909005882,,1.5uH,
8901059242,,56R,5%
8909010382,SOT-23,TPS78401QDBVRQ1,
8909013162,QFN-34 (4mmx5mm),MPQ8875AGVE0105A,
0273300022,K5-CLCC6,SMD082,
8900305512,0309,510R,5%
8905509692,0805,23.7R,1%
8909007912,2520,3.3uH,
8900130982,0805,330R,1%
8900130983,0805,464R,1%
8909000663,HY_0805,2.2uF,10%
8900305513,0309,5.1k,5%
0273300023,PLCC28,SMB100 C4,
8900229913,0207,9.1k,2%
8909010383,WSON10,LM53600NQDSXRRB,
8900507183,0617,1.8k,5%
8900625173,0204,56.2R,1%
8611201123,FBGA 96,K4B4G1646D-BHMA,
8901059243,,62R,5%
8900131653,0603,48.7k,1%
8902268163,,68pF,10%
8909007913,0603,BLM18GG471SZ1#,
8900106233,0204,261R,1%
8900643203,0411,2k,5%
8909005883,MSOP8,LMV762BQMMX,
8909013163,QFN14,MPQ4328GRE-AEC1-,
8909011053,HTSSOP-24,DRV8873SPWPRQ1,
8900106234,0204,267R,1%
8909013164,7.6x7.0x5.2,4.7uH,
8909005884,1206,14.7k,0.1%
8900625174,0204,57.6R,1%
8900130984,0805,470R,1%
8902268164,,68pF,10%
8909007914,QFN24,LM25141QRGERQ1,
8909010384,0402,0.0047uH,
8900305514,0309,51k,5%
8900507184,0617,18k,5%
8900131654,0603,49.9k,1%
8909000664,HY_0805,1.5uF,10%
8900643204,0411,20k,5%
8900229914,0207,91k,2%
0285B01264,,32 pin,
8905509694,0805,23.7R,1%
8909011054,QFN32,AD2428WCCSZ01-RL,
8901059244,,68R,5%
8909005885,1206,3.16k,0.1%
8900507185,0617,180k,5%
8900305515,0309,510k,5%
8900625175,0204,59R,1%
8905509695,54 SOICW-EP,MCZ33937AEK,
8900130985,0805,511R,1%
8900643205,0411,200k,5%
8909013165,0805,47.5R,0.5%
8902268165,,68pF,5%
8900229915,0207,910k,2%
8909000665,0805,3.3R,1%
8900131655,0603,51.1k,1%
8901059245,,75R,5%
8900106235,0204,274R,1%
8909011055,2520*,24MHz,100ppm
8909010385,13.2 x 14.2,102R-1CH-C E01 1,
8905509696,LQFP64,STM8AF52A9TC,
8909011056,2520*,33.3333MHz,100ppm
8900305516,0309,5.1M,5%
8900106236,0204,280R,1%
8900229916,0207,9.1M,2%
8909010386,1206,22uF,10%
8902268166,,68pF,5%
8900131656,0603,53.6k,1%
8638804406,THT,2311788-5,
8909007916,eTQFP64,SPC584C70E1F00,
8909013166,0805,100R,0.5%
8900625176,0204,60.4R,1%
8903413556,,47uF,20%
8901059246,,82R,5%
8909000666,PG-DSO-8-10 exposed pad,TLE4254EJ-A,
8900643206,0411,2M,5%
8900507186,0617,1.8M,5%
8909005886,TUMD2M,RSX071VYM30FH,
8909013167,,ATWPEF202812B307,
8900106237,0204,287R,1%
8900643207,0411,20M,5%
8900305517,0309,51M,5%
8905509697,0603,10nF,10%
8901059247,,91R,5%
8638804407,THT,2392396-7,
8900130987,0805,680R,1%
0273101177,SO16,SMB200,
8909011057,2520*,40MHz,100ppm
8900229917,0207,91M,2%
8902268167,,68pF,5%
8909010387,1206,22uF,10%
8900507187,0617,18M,5%
8900625177,0204,61.9R,1%
8611201127,11.5x1.2x13 mm,IC-Chip; KLUCG4J,
8903413557,,100uF,20%
8909000667,0603,10nF,10%
8909011058,BGA1022 P0.8,R8A77965JC25BG#G,
8909B05300,BGA315,MT62F512M32D2DS-,
1267360770,1206,10k,1%
8903413558,,220uF,20%
8900625178,0204,63.4R,1%
8902933730,,10nF,20%
8909002830,2.5mm*2.0mm,25MHz,50ppm
8909007918,US8,N24C16UVTG,
8902268168,,68pF,10%
8909010388,2016,55.2MHz,
8909006500,iBGA,AR0231,
1267377430,TO263,HUF76432S3S,
8909000668,0603,15nF,10%
8900131658,0603,56.2k,1%
8909004940,0603,6.8nF,10%
8902002230,1812,100nF,20%
8638804408,THT,5-2311788-1,
8900130988,0805,681R,1%
8909013168,LCP E4008,ATWPEF253213B602,
8909B03740,36x36x8 mm,undefined,
8905507530,0603,12pF,2%
8902908290,,680nF,10%
8900635350,0204,324R,2%
8900106238,0204,294R,1%
8900610560,0933,5.6R,5%
8905509698,0603,15nF,10%
8905503860,0603,6.8nF,10%
8901059248,,100R,5%
8900610561,0933,56R,5%
8909013169,LCP E4008,ATWPEF253213B603,
8909B0576801,CASR 25-NP,CASR 25-NP,
8900320271,0206,27R,5%
8638804409,THT,2322791-2,
8909B05301,BGA441 14x14mm,K3LK7K70BM-JHCP,
8909B0475901,HVSON14,TJA1463ATK,
8909B03741,0402,3.16k,0.1%
8900130989,0805,825R,1%
8909006501,QFN32,DS90UB953TRHBRQ1,
1277635199,LQFP32,CF190,
8900438181,0719,18R,5%
8900106239,0204,301R,1%
8901059249,,110R,5%
1267360771,0606,6.81k,1%
8909000669,HTSSOP32,UJA1075ATW/5V0/W,
8905505421,,47nF,10%
8909011059,0805,82.5R,1%
8909010389,Disc Lead Spacing 10,680pF,10%
8905507531,0603,15pF,2%
8900635351,0204,332R,2%
8909004941,0603,10nF,10%
8909002831,2.5mm*2.0mm,27MHz,50ppm
8905509699,0603,33nF,10%
8903413559,,470uF,20%
8902002231,1812,120nF,20%
8902268169,,68pF,10%
8900131659,0603,61.9k,1%
8900625179,0204,64.9R,1%
890900883201,0603,5.11k,1%
8905503861,0805,4.7pF,5%
8902002232,1812,150nF,20%
8909006502,,RXS8160PL,
0437S005Y2,,undefined,
8905958902,SO20,COP685BC,
8905505422,,47nF,10%
8905507532,0603,22pF,2%
8900438182,0719,180R,5%
8905503862,0805,330pF,5%
1267360772,1206,68.1k,1%
8900610562,0933,560R,5%
8909002832,0402,191k,1%
8905500282,LQFP32,MC68HC908GR16AMF,
8900635352,0204,340R,2%
0272250002,BGA52,SIP100,
8900320272,0206,270R,5%
1267360773,1206,6.81k,1%
8905503863,0805,1nF,2%
8900320273,0206,2.7k,5%
8905507533,0603,27pF,2%
8902002233,1812,180nF,20%
8909B03743,SO8 PowerPad,TPS54360BQDDARQ1,
8900610563,0933,5.6k,5%
8909002833,0402,45.3R,1%
8905500283,LQFP32,MC68HC908GR16AVF,
8900438183,0719,1.8k,5%
0272250003,BGA52,SIP110,
8900635353,0204,348R,2%
1267377433,TO263,BUZ102SE3045,
8902860453,,1.5nF,20%
1267360774,1206,100k,1%
8900610564,0933,56k,5%
8909002834,0402,499R,1%
1269993384,1206,5.6k,5%
1270CD1124,,15POL ML MIT EIN,
8900320274,0206,27k,5%
8902002234,1210,680pF,5%
8900438184,0719,18k,5%
8909006504,PG-LQFP-64-18,TLE9180D-31QK,
8902908294,,1.5uF,10%
8900635354,0204,357R,2%
8905507534,0603,33pF,2%
8900438185,0719,180k,5%
1267360775,0606,2.15k,1%
8909002835,0402,32.4k,1%
8909006505,HY_Bare die,TLE9180D-CH,
8902002235,1210,820pF,5%
8905503865,0805,330nF,10%
8900610565,0933,560k,5%
6002JM0195,,undefined,
8902908295,,2.2uF,10%
8905507535,BGA208,SAK-TC1387-392F1,
8905505425,SOT23,BZX84-B51/DG/B3,
8909B05305,QFN12,LTC3304AJUCM#WTR,
1269993385,1206,30k,5%
8900320275,0206,270k,5%
8900635355,0204,365R,2%
1267360776,1206,4.64k,1%
8905507536,BGA208,SAK-TC1367-264F1,
8900610566,0933,5.6M,5%
8909004946,HTSOP-J8,BD5030MEFJ-CE2,
8909B05306,QFN16,TPS62872-Q1,
8909002836,0402,118k,1%
8902908296,,3.3uF,10%
8900635356,0204,374R,2%
8905505426,DO214A,ES2D-1BHE3A,
8902002236,1210,1nF,5%
8900438186,0719,1.8M,5%
1269993386,1206,68k,5%
1270CD1126,,7pol ML mit Einp,
8900438187,0719,18M,5%
1269993387,1206,300R,5%
1270CD1127,,,
8902860457,,2.2nF,20%
8909006507,TSON-24-1,BTS54220-LBB,
1267360777,1206,2.15k,1%
8900635357,0204,383R,2%
8909002837,0402,178k,1%
8905507537,BGA208,SAK-TC1357-200F1,
8905505427,DO214AB,ES3DHE3/9AT,
8900610567,0933,56M,5%
8902002237,1210,1.2nF,5%
8905958907,P-MQFP-144,SAK-C167SR-LM(BA,
8905505428,DO214A,S1G-BHE3_A,
1BOND0050,,,
8900635358,0204,392R,2%
8928510878,PLCC-4,LGT67K-J1K1-24-0,
8909006508,10x16,470uF,20%
8901059230,,18R,5%
8909007980,QFN16 EP,BD9S200MUF-C,
1267360778,1206,1.47k,1%
8900657360,0933,3.6R,5%
8909002838,0402,357k,1%
8900322440,0207,37.4k,1%
8908428030,,T60404-M4645-X20,
1269993388,1206,390k,5%
8905507538,BGA208,SAK-TC1337-136F1,
8909010370,SO6,"TLX9906(BSH-TL,F",
8900625160,0204,41.2R,1%
8900106220,0204,191R,1%
8902002238,1210,1.5nF,5%
8905503868,1206,2.2nF,5%
8909B03748,,Klemmrand part,
8905509700,0603,47nF,10%
8905507539,0603,6.2R,1%
8909B0675601,LGA,B39162B4393P810,
8909B03749,SOT-23,DS90LT012AQMF/NO,
8905509701,,2700uF,20%
8909010371,TO-263-7L,SCT3160KW7HRTL,
8901059231,,20R,5%
8909B0563401,FCBGA (827),XJ721ERBALF,
8909B0702901,9x9 FCCSP,VX004,
8900322441,0207,38.3k,1%
8909000651,HY_FUER-HYBRID-SG,X3T-OH047,
1267360779,0606,100k,1%
8909013151,LFBGA 11.5mm * 13mm * 1.3mm,MTFC256GAVATTC-A,
8905505429,,315MHz,
8909007981,QFN16 EP,BD9S400MUF-C,
8902971609,,22nF,20%
8900130971,0805,91R,1%
8909B0647801,0805,330pF,5%
8909B0795301,0402,6.8k,1%
8611201131,11.5x1.2x13 mm,KLUEGAJ1ZD-C0CQx,
8905503869,1206,4.7nF,2%
890901367901,P-TO263-5-1,TLE4251G,
8902002239,1210,1.8nF,5%
8909002839,0805,1.62k,1%
1269993389,1206,820k,5%
8900635359,0204,402R,2%
890901303501,SMD18x20 VIB-proof,680uF,20%
8900106221,0204,196R,1%
8909B0591201,0603,5.6nF,5%
8900625161,0204,42.2R,1%
8900657361,0933,36R,5%
127101290401,,788000001,
8909B0710001,TOPLED,LTTTSD-U1V2-4,
8909005871,axial,470uF,30%
8900657362,0933,360R,5%
8905509702,HTQFP64,SN0709072,
8901059232,,22R,5%
8900106222,0204,200R,1%
8900130972,0805,100R,1%
8902268152,,68pF,10%
8909000652,radial can,680uF,20%
8900322442,0207,39.2k,1%
8909007982,HTSOP-J8,BD90640EFJ-C,
8909010372,H2PAK-7,SCT070H120G3AG,
8900625162,0204,43.2R,1%
8909005872,P-HTQFP100,TB9390FG (EPS2ev,
8909013152,5.65x5.25,1uH,
8909010373,G,270uF,20%
8909000653,TQFP64,L9906CTR CB-Step,
8900625163,0204,44.2R,1%
8900106223,0204,205R,1%
8900657363,0933,3.6k,5%
0273101183,PLCC28,SMB062D 50G,
8905509703,HLQFP144,uPD70F3485GJ,
8909005873,SOT666,NX3008CBKV/DG/B2,
8900322443,0207,40.2k,1%
8901059233,,24R,5%
8909000654,,2.5uH,
8900657364,0933,36k,5%
0273101184,PLCC28,SMB052D 50G,
8901059234,,27R,5%
8900625164,0204,45.3R,1%
8909007984,SMC,SM30T56CAY,
8909013154,VSON08AX2030,BR24H64ANUX-5ACT,
8905509704,,80MHz,
8900322444,0207,41.2k,1%
8900106224,0204,210R,1%
8900130974,0805,147R,1%
8909000655,2512,1m,1%
8901059235,,30R,5%
8909005875,HVSON14,UJA1164A,
8900322445,0207,42.2k,1%
8909007985,QFN16 EP,ISL8117FRZ,
8900657365,0933,360k,5%
8905509705,0805,5.11R,1%
8909010375,WSON,SN19067QDQXRQ1,
0273101185,PLCC28,SMB060D 35G,
8900106225,0204,215R,1%
8900625165,0204,46.4R,1%
8611201135,8-pin SOIC 150mil,IS25WP016D-JNLA3,
8900130975,0805,150R,1%
0273101186,PLCC28,SMB050D 35G,
8909005876,,PCFA20N60FK6,
8900130976,0805,200R,1%
8909007986,QFN16 EP,ISL78233ARZ,
8900322446,0207,43.2k,1%
8901059236,,33R,5%
8900657366,0933,3.6M,5%
8909010376,Power PAK 8x8 (LFPAK88),SQJQ148E,
8900106226,0204,221R,1%
8900625166,0204,47.5R,1%
8909000656,LQFP48,MM912H634CV1AE,
8909005877,,PCRA49411FK6,
8900657367,0933,36M,5%
8909010377,LFBGA516,SAL-TC399XP-256F,
0273101187,PLCC28,SMB065D 35G,
8900106227,0204,226R,1%
8900322447,0207,44.2k,1%
8901059237,,36R,5%
8909007987,QFN24 EP,ISL78236ARZ,
8900625167,0204,48.7R,1%
8909013158,,FF900R12ME7_B11,
0273101188,PLCC28,SMB067D 50G,
8905507520,0603,5.6pF,4.46%
8905509708,DO218AB,SM8S43A-7001HE3,
103820205X,,undefined,
8900319500,0207,178k,1%
8901059238,,39R,5%
8909B03730,"10,6x8,9x2,7 mm",52207-0560,
8900625168,0204,49.9R,1%
8909010378,LFBGA292,SAL-TC397XP-256F,
8900419270,0411,2.7R,2%
8905505410,DPAK,NP60N03SUG(1)-E1,
8909004930,0603,330pF,5%
8900322448,0207,45.3k,1%
8900106228,0204,232R,1%
8902002220,1210,39nF,20%
8900130978,0805,220R,1%
8909005878,Bare Die,ST48NM60NDD8,
8909007988,DFN12 EP,ISL78322ARZ,
8900106229,0204,237R,1%
8909B0698801,,,
3330A3009801,,undefined,
8909B0550001,LFCSP48,AD2433W-CPZ12-EN,
8900419271,0411,27R,2%
8909B0542901,,33uH,
1269993371,1206,10nF,20%
890901347801,DO-214AB,3KSMC58A TG HE3,
8909B0634401,,undefined,
8900322449,0207,46.4k,1%
0273101189,PLCC28,SMB100D,
3330A3022701,,Fe-Heatsink 10x1,
8905505411,HY_FUER-HYBRID-SG,TJA1041AU/V,
890901714801,,1.5uH,
8909010379,LFBGA292,SAK-TC397XX-256F,
8909005879,Bare Die,185N55F3D8,
1270AC207701,,undefined,
8900130979,0805,261R,1%
0272240131,QFP44,CG987,
8905500271,SOT143,BAW101/DG/B2,
8909007989,QFN26,LP87524BRNFRQ1,
8909B03731,"7,3x4,3x3,1 mm",22uF,20%
8905507521,0603,8.2pF,3%
890550221001,SOIC8,IRS2123S,
8909013159,MS10/TSSOP10,LTC4368HMS-1#PBF,
8900625169,0204,51.1R,1%
